part_id,show,part_number,part_brand,subcategory,part_image,family,belt_type,belt_length,pitch,thickness,top_width,ingress_protection,certifications,nema_rating,temperature_rating
0072CF83-BCC8-466E-B6B7-765FA15C8722,,S1-02812080700,YORK UPG,,,,,,,,,,,,
00B858DC-04A9-4F8B-B2EB-26309AF120C3,,KR52BF051,CARRIER,,,,,,,,,,,,
01077A07-6791-41F6-8413-4923AD041642,,115865,REZNOR,,,,,,,,,,,,
011FEE86-81FD-400C-B45A-80E754DF1017,,C5252404,AMANA,V-BELT,,,,,,,,,,,
01324CD0-63AF-4B85-B082-264E8861F69B,,71-40438-21,RHEEM,,,,,,,,,,,,
0133D059-E245-410E-9C92-A98D515311DA,,KR29QA055,CARRIER,,,,,,,,,,,,
0134BCB7-BB27-482B-8A0B-00BCF11E7F5E,,5601-5524,RHEEM,,,,,,,,,,,,
01540AFC-B83B-448A-9CB8-CA22E998AC82,,31K97,ALLIED,,,,,,,,,,,,
0182DE53-10F7-49C0-B5F5-6617A48B9E1E,,01081A018,ARMSTRONG,,,,,,,,,,,,
018FBC49-9B4C-4D3D-9506-ADB705B6B23D,,S1-02807634000,YORK UPG,,,,,,,,,,,,
01EC7F3D-5B61-489E-8E95-B7311A3BC95B,,P463-A54,CARRIER,,,,,,,,,,,,
01F228FE-3463-4D56-93DF-9CA20B223DC6,,S1-02638075018,YORK UPG,,,,,,,,,,,,
02057717-AEDC-4DA2-A4DC-DA759B2FC34C,,B0000103,TRANE,,,,,,,,,,,,
022B69E6-BDB0-48FB-B574-CDECC7169741,,71-41764-02,RHEEM,,,,,,,,,,,,
025E33E1-6BD7-45B2-BB3B-F3D7E9AD3A91,,92411,REZNOR,,,,,,,,,,,,
026D5130-7A0A-4DCD-B297-3CC4159233CB,,B0000261,TRANE,,,,,,,,,,,,
027091EB-CA60-4790-AAFE-BEB484A3DCE6,,RMA-14-35,RHEEM,,,,,,,,,,,,
02728684-56AC-404B-BAD7-90AC5AED12BC,,A-51,CARRIER,,,,,,,,,,,,
0277DA68-863D-41F4-A9CD-9FE0BB46BB20,,924700,MCQUAY,,,,,,,,,,,,
027CD67C-FBB8-48CC-AF79-95E85F844382,,50477,REZNOR,,,,,,,,,,,,
02851E9C-FB50-4688-9309-70C5AA567E86,,P463-A36,CARRIER,,,,,,,,,,,,
02D43D88-41EB-4D61-A922-84FD34E890C1,,0164L00020,DAIKIN,,,,,,,,,,,,
