part_id,show,part_number,part_brand,subcategory,part_image,microfarads,voltage,shape,tolerance,operating_temperature,depth,height,width,ingress_protection,certifications,nema_rating,part_number_correction,notes
00119234-3173-4FEB-9AE0-43DEDC035E69,1,33000046,THERMAL ZONE,RUN CAPACITOR,,50,450,Round,,,,,,,,,,
001BEC44-6B81-4257-B490-DC2A8F40B529,1,1670116,ICP,,,,,,,,,,,,,,,
001C0352-ACB2-490C-A8E8-EFAC909D3ACE,1,MC3401D8,NORDYNE,,,,,,,,,,,,,,,
001CE996-5F39-42A3-A106-FE9F5D39D06C,1,202401100353,CARRIER,,,,,,,,,,,,,,,
0023F10D-24C8-4B95-B6CE-D1B76A228D58,1,24280823,FRIEDRICH,,,,,,,,,,,,,,,
00266B50-1375-48A8-B58B-0D432819BD0D,1,1605-720-9,MARTA AMERICAN,,,,,,,,,,,,,,,
0026BD5D-E89C-4404-9BC4-BF57B93A58A4,1,P291-8073RS,PAYNE,DUAL CAPACITOR,,,,,,,,,,,,,,
0032D3DA-628F-4B0F-8488-5C852A6B3488,1,28009,,,,,,,,,,,,,,,,
0034292F-CF34-4EED-9CF2-AA0A65A515A4,1,CPT00072,AMERICAN STANDARD,RUN CAPACITOR,,,,,,,,,,,,,,
0043FCA8-485F-4F8B-946A-082B602EFF46,1,708731,,,,,,,,,,,,,,,,
004649E9-83D2-458B-ABC8-CF88B0C39104,1,81A59,LENNOX,RUN CAPACITOR,,,,,,,,,,,,,,
00497A3C-02C9-43BB-B11A-B55313E14A95,1,3171521-034,HEIL,DUAL CAPACITOR,,,,,,,,,,,,,,
0058DE87-3C49-4FC7-9D7A-DBE7F323443C,1,24280815,ARCOAIRE,,,,,,,,,,,,,,,
005C8130-6AB4-4212-A534-D862A0B8DF53,1,24280813,,,,,,,,,,,,,,,,
005DC833-E5F1-4017-85C4-ED8DD0E5BFA9,1,33010020,AMANA,,,1.5,450,Rectangular,,,,,,,,,,
005E8CB8-ED7E-4561-B445-7B152BF62D2E,1,852705,WHIRLPOOL,RUN CAPACITOR,,,,,,,,,,,,,,
0065D6DF-AE01-4B18-9A61-B6E8BB8C3AD5,1,231831,SUBURBAN,,,,,,,,,,,,,,,
008A77F6-2A29-4C73-BD38-543A9E65D741,1,1605-00730-008,HUNTER,,,,,,,,,,,,,,,
00A54504-ACAD-4EDE-A681-6A4D19A05892,1,P291-4554S,CARRIER,DUAL CAPACITOR,,45/5,440,Oval,,,,5.5,1.9,,,,,
00A5BB1C-CE38-4A28-9C20-84FB886F73A6,1,CPT00641,TRANE,,,,,,,,,,,,,,,
00A79426-9582-45B1-A16D-EFD98A8C5486,1,WW20X132,TRANE,,,,,,,,,,,,,,,
00AF822D-E060-4A00-854A-2CAACE777B70,1,WJ20X305,GE,DUAL CAPACITOR,,,,,,,,,,,,,,
00B39B85-F2C6-47E5-BE7A-E19B18C20740,1,24280850,CARRIER,DUAL CAPACITOR,,25/3,440,Round,,,,,,,,,,
00C5B039-183E-4479-A6DC-D78E45FA7EE3,1,350846,THERMO PRIDE,DUAL CAPACITOR,,,,,,,,,,,,,,
00CBAA5F-E0A9-4426-BA08-7A5AEB6C41A9,1,1058103,HEIL,,,,,,,,,,,,,,,
00CD3569-91E6-4F7E-A02E-8813AE479326,1,24280827,ICP,,,,,,,,,,,,,,,
00CEB80E-618A-4941-97EC-9D031C023B0A,1,43-17075-02,RHEEM,START CAPACITOR,,43-53,250,Round,,,,,,,,,,
00E1ECF2-822C-401B-97A0-1C9B09022253,1,43-26261-03,RHEEM,DUAL CAPACITOR,,,,,,,,,,,,,,
00E5C78B-8DAA-48C3-BF09-1BAFC4C7CD8B,1,G513068-33,GIBSON,,,,,,,,,,,,,,,
00EC9C7C-8AD3-4B22-891E-F73A1749AA7A,1,5303303125,SEARS,,,,,,,,,,,,,,,
00ED0DC1-7A7D-4344-9F0F-5F30E41AF9F9,1,WH20X406,GE,DUAL CAPACITOR,,,,,,,,,,,,,,
00EF703B-5BC5-4515-820C-2DD000546073,1,WJ20X196,GE,DUAL CAPACITOR,,,,,,,,,,,,,,
00F5189F-DA7F-4479-9DDC-40FC91476EBD,1,024-05420-000,YORK UPG,START CAPACITOR,,,,,,,,,,,,,,
00FA76F8-9A5D-4CFE-B160-E83012C35E84,1,CPT00472,TRANE,RUN CAPACITOR,,,,,,,,,,,,,,
00FC611D-C500-412F-9F8C-4E208A4AC397,1,35P101A07,CARRIER,,,,,,,,,,,,,,,
0100A063-9404-4A93-AF86-523646887E1D,1,CAP050500370RT,GOODMAN,DUAL CAPACITOR,,,,,,,,,,,,,,
01037B74-993E-4072-997C-350476C85E68,1,43-100497-04,RHEEM,RUN CAPACITOR,,5,370,Oval,-0.06,70C,,,,,,,,
011CD4BE-BE6C-4D97-8BDF-583E87C153E5,1,5303001903,WESTINGHOUSE,,,,,,,,,,,,,,,
