part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,oil_type,nominal_capacity_tons,nominal_capacity_BTUH,voltage,ph,hz,run_capacitor,start_capacitor,connection_type,suction_inlet_diameter,discharge_diameter,number_of_cylinders,number_of_unloaders,crankcase_heater,protection,speed,EER,displacement,nominal_hp,nominal_power_watts,fla,lra,rpm,compressor_length,compressor_width,compressor_height,ingress_protection,certifications,nema_rating
000C0049-12AA-4691-8DD3-7F80B268B2DF,,L2-18024J,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000DC216-97B1-4AE8-82AD-9FC77791328B,,1171444,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000E23A6-CEFB-40F8-A2C8-1D32F9BCE90C,,06DX8246BC1200,CARRIER,SEMI HERMETIC RECIP COMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00161C7E-F6DF-4115-AA86-BC6362214709,,D537103,AMANA,HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00162F4A-C05D-4A16-AFDA-9720ABD817AA,,34B0115N03,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001B2FC7-5D26-4436-90D7-581E446E40F3,,S1-01504125001,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001BA070-CD52-44A9-B762-420C5DE3BD50,,20412603,AMANA,SCROLL COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001C885F-DC47-481B-A44E-49ECD8849A48,,06E2250610,CARRIER,SEMI-HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001E3278-F2C8-4C9B-BABE-A810B7D37064,,S1-9424-3609,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0021FCB1-7CA4-45AF-91EE-19F6E69CE9BF,,5303925151,WESTINGHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0022464B-D289-48A7-98F3-A5F1A2DEC959,,G517396-02,GIBSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00240A5D-B0BF-4ECC-9CBA-28985763E5CB,,D5557109,AMANA,HERMETIC RECIP COMPRESSOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
