part_id,show,part_image,part_number,part_brand,subcategory,poles,shunts,coil_voltage,operating_voltage,ph,hz,fla,action,lra,connection_type,termination_type,resistive_amps,noninductive_amps,auxialliary_contacts,push_to_test_window,contactor_type,height,width,length,coil_type,nema_size,max_hp,fuse_clip_size,enclosure_type,temperature_rating,current_setting_range,reset_type,accessories,overload_relays,overload_time,ingress_protection,certifications,nema_rating,rla,application,switch_current
000CB310-7CF0-4C7D-9291-A14BD3FA443D,1,38AK400503,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00145B49-692A-4214-A2DE-2DBB5B9C192F,1,38AE401844,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00171166-1DEB-4127-8994-264F6CBE66D4,1,601-46,FLORIDA HEAT PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0036B696-B033-4B08-9ED5-895AEE38CF31,1,1171158,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0045E585-3488-47C9-B88F-D211AD360B11,1,S1-02420344000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004CAE55-EC67-4042-855F-9CBD2B89B09C,1,38AK400492,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006A4A7A-6294-4098-8904-9E3727AB8E8D,1,38AE403164,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007420CB-3BA3-4BAF-A5FC-D2A39671C47F,1,WW30X52,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0085CFFC-C26C-4662-BBAC-AC46893D0534,1,521713,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008E4250-EC6D-4005-A01D-7D9A4DB6F01C,1,S1-02425930000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AD346D-DB00-498F-92EB-2A65D54BF963,1,38AE406124,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B839D6-9C89-4C2A-B3FF-56003DCD0C83,1,S1-02421216002,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B92D4F-9CC7-4546-845F-CB0194A523D8,1,CT12XA022EE,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00CABA14-1ECB-4E00-9C40-8CB7AF244525,1,S1-02411093000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00DEB3E7-8BF2-460D-B7A6-917EB6A5357E,1,RER-0236,REFPLUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00F46AF5-DF6B-4978-BF53-63A5F9B7CD82,1,HN69KB634,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010FA6F7-D6F8-41EA-9B40-888D1D53D1AF,1,8401-263,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011338F0-7F0F-4003-B7A7-44512F5B7D0C,1,CTR00103,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011635AD-A842-4A66-9C4E-46714C191A27,1,38AH400060,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0124B531-4462-4DEB-A64F-E8089ECDD9F8,1,P-8-7737,ALLIED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01358D1E-A505-411C-A719-DCAD686D3685,1,08-0220-03,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013FF1F0-2602-4AE0-99CA-477722757938,1,CTR00180,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014DC556-C188-424E-8242-E113691AA7CA,1,P-8-640,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0161F2DE-53E7-459A-946B-DC9E78DD648D,1,30HX404373,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01744EC2-840D-4607-ADA4-C86B89131F19,1,38AK401047,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0175C7C4-75C9-4251-A867-8B658A2271C7,1,8401-033,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01950695-1D83-4280-AD0D-A037DF3CCA32,1,24-8439,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01BD5E75-1861-4A2A-8238-B1536A3216EC,1,CTR00527,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01DF81A6-ABCE-4456-9096-7A695214A317,1,P-8-6382,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01E22BB6-CC32-4DDB-96AC-C8E7EC0ECA1D,1,P282-5101,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01EF5A2C-46E8-4E62-83C5-C4F6AC488947,1,S1-02531362700,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01FBFB87-51E4-4416-9EDB-25645E31E799,1,620568,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023CFDE0-AB32-4487-A481-2DC923048DB1,1,CTR00443,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
