part_id,show,part_number,part_brand,subcategory,part_image,watts_power,voltage,shape,min_dimension,max_dimension,probe_length,probe_diameter,lead_length,ingress_protection,certifications,nema_rating
00051208-FF7D-41CD-A5C5-DBCEC20024F0,,100499-03,LENNOX,,,,,,,,,,,,,
000FBB1F-CA1E-4FF2-8ABE-1EEB8C67D2C4,,HTR00127,TRANE,,,,,,,,,,,,,
00118F52-D4A6-44F7-B5E8-0D51F8B09E58,,HTR01108,TRANE,,,,,,,,,,,,,
004D7070-3BBF-4231-919A-D4379EE735ED,,1172425,HEIL,,,,,,,,,,,,,
0075591E-68E4-4ECE-A008-BD7927D06AC0,,HTR01125,TRANE,,,,,,,,,,,,,
009E3A89-EE51-43FB-972D-9EAC866988B2,,1172358,HEIL,,,,,,,,,,,,,
00F42478-D2EA-45D8-BBF3-2E83919C7F9E,,HT32BH940,CARRIER,,,,,,,,,,,,,
0135CDE2-E041-4C9E-B3E1-932AA016822A,,49K11,ALLIED,,,,,,,,,,,,,
01BC3D3D-4C5C-4599-8898-1995CBA0BFAB,,HT32CH231,CARRIER,,,,,,,,,,,,,
01D4FE78-7ACC-4204-B56E-E5E90400CFFF,,44-101884-02,RHEEM,,,,,,,,,,,,,
01DF0B4B-7404-4270-B2A5-E9AB328989F9,,0163R00022,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
01FE8086-179E-4DB2-83CB-25737CBA6B65,,HT32TC203,CARRIER,,,,,,,,,,,,,
0283FF2A-449E-4E3A-88D4-1725ED749057,,HTR00143,TRANE,,,,,,,,,,,,,
02A9CA71-ECE0-42DC-981A-BB0480047F60,,59621D031,CARRIER,,,,,,,,,,,,,
02B3876B-0DB2-443D-9224-24AAE5827202,,44-17402-48,MCQUAY,,,,,,,,,,,,,
02B4F801-E099-4CC9-8572-57ED9F168E9A,,81G41,LENNOX,,,,,,,,,,,,,
02FA878B-B7CE-4BF7-B48C-01C391E06653,,C6336102,AMANA,BAND CRANKCASE HEATER,,,,,,,,,,,,
03259839-70CF-40D6-9233-05E2D1997FE4,,HT32BH906,CARRIER,,,,,,,,,,,,,
034532AF-321E-4EEC-85E9-A4B144691B78,,HT32TC705,CARRIER,,,,,,,,,,,,,
0347F4BB-8290-45E7-8368-D08F7A295EFD,,8604-175,WEATHERKING,,,,,,,,,,,,,
03775F37-0D21-4F63-9F81-C33CE10EF63C,,S1-1458-9531,COLEMAN,,,,,,,,,,,,,
03F04FDA-E223-474F-853F-FFD51844C78E,,0163L00062,GOODMAN,BAND CRANKCASE HEATER,,,,,,,,,,,,
0403BF2F-358C-4E5D-91F6-78CFD143AB1C,,44-101884-13,RHEEM,,,,,,,,,,,,,
042ECA1A-F033-4C69-81E3-10BBCB6C1BE9,,1950725,HEIL,,,,,,,,,,,,,
044A15A6-024A-4C84-9C41-441520278E1A,,HT32BH912,CARRIER,,,,,,,,,,,,,
046A48DA-2F0C-46DD-9EE5-BEFE34350CBE,,S1-02514220000,YORK UPG,,,,,,,,,,,,,
04C5F7EE-0331-4242-B020-9EF1992C85F7,,HTR01262,TRANE,,,,,,,,,,,,,
04D67849-7FAA-4DB7-A05A-AC7594636711,,1175768,HEIL,,,,,,,,,,,,,
