part_id,show,part_number,part_brand,subcategory,part_image,volume,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,direction_of_flow,desiccant_type,number_of_cores,options,rated_capacity,ingress_protection,certifications,nema_rating,note
002DB652-2ADC-4FCF-892A-A0DC6A26E537,,61481301,FRIEDRICH,,,,,,,,,,,,,,,,
003D8373-A8BC-45D9-BE64-C29F90DB8011,,8017211,WESTINGHOUSE,,,,,,,,,,,,,,,,
00AB5102-CDA7-4EB0-9849-6BDFE10EC1FB,,1147960,HEIL,,,,,,,,,,,,,,,,
00FDFEC3-AA95-47F1-8C18-475F9366B939,,1050998,COMFORT,,,,,,,,,,,,,,,,
015969C0-F0C4-4661-8248-8C76C1723B46,,P503-8166S,CARRIER,,,,,,,,,,,,,,,,
018EC486-4E25-4E98-993D-73B6F4ADDF1F,,D-8006-01,RHEEM,,,,,,,,,,,,,,,,
0192473D-9175-44FC-976B-EB7F37745C6E,,S1-02920486700,YORK UPG,,,,,,,,,,,,,,,,
023533F4-F99D-4A03-AC20-6FAF191E3375,,38HPC900021,CARRIER,,,,,,,,,,,,,,,,
02371A9B-71DC-4034-8606-52BF0D5ABE6B,,P504-8163S,PAYNE,,,,,,,,,,,,,,,,
0251D0D2-1567-444D-B1D0-47FDF002934B,,731-022,ARMSTRONG,,,,,,,,,,,,,,,,
025D2895-1D30-4697-A080-0547D4842EF2,,S1-02625586001,YORK UPG,,,,,,,,,,,,,,,,
02734B31-3E39-4DE2-AFD4-693C7C8C9DDA,,AH-083S,RHEEM,,,,,,,,,,,,,,,,
0274DA4A-CC4F-4FD0-BBB4-501178F03316,,322937-304,CARRIER,,,,,,,,,,,,,,,,
027D54C9-5C4B-4D3D-8192-D6B4AED22938,,BT1282504,AMANA,STRAINER,,,,,,,,,,,,,,,
0280D541-BA69-4746-82FB-5EBE0E2E4463,,B1278303,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
029A2780-6B1F-40C5-ADC0-52BFF4283D3D,,30RA506752,CARRIER,,,,,,,,,,,,,,,,
02C09DA0-AE49-42F1-812E-E0B2B9F8DB10,,S1-02918139000,YORK UPG,,,,,,,,,,,,,,,,
02CF2BAE-57F2-4D7C-8E77-D952B0492899,,38AP403410,CARRIER,,,,,,,,,,,,,,,,
02D72169-A72F-491A-B982-002BD005EE6A,,50TG405980,CARRIER,,,,,,,,,,,,,,,,
030FC025-09A6-4F0E-8C4B-E9EE494D2A86,,HC43LZ073,CARRIER,,,,,,,,,,,,,,,,
03533606-D83E-4B16-A9B2-3B7B43B9EEE8,,83-21643-03,RHEEM,,,,,,,,,,,,,,,,
036A9D33-10B9-4CCB-9443-0164EAD7B562,,S1-02612903000,YORK UPG,,,,,,,,,,,,,,,,
038EB066-F4EB-44C6-8749-B9318875D540,,68J14,LENNOX,,,,,,,,,,,,,,,,
03EC9F63-4826-4E89-BCC5-F23E47487EA2,,DHY01054,TRANE,,,,,,,,,,,,,,,,
03F3DA6C-433D-4E85-9682-17B3A582A91F,,30GB409454,CARRIER,,,,,,,,,,,,,,,,
04064803-47A8-4446-93A0-04E589E9B603,,P502-8165S,BRYANT,,,,,,,,,,,,,,,,
040EDBF6-E8C1-4C2D-9FF2-C4B76E80A7C2,,68456100,FRIEDRICH,,,,,,,,,,,,,,,,
0448C4C7-C958-4E80-8222-E99F38A8B53F,,50VL400371,CARRIER,,,,,,,,,,,,,,,,
044ADF10-F883-4356-8FCA-67C53725208A,,704428,HEIL,,,,,,,,,,,,,,,,
04E6CDE6-2DC9-43C3-B5D4-9C819781874F,,72L23,LENNOX,,,,,,,,,,,,,,,,
0519C2BC-838C-41C1-BB34-7A4FE4446FD5,,68J14,ALLIED,,,,,,,,,,,,,,,,
0538BAA6-C74F-4D3F-9B48-AB8A6254BD77,,10641502,GOODMAN,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
05507004-FC54-4DB7-B0A8-E9A02241010A,,0973449,DAIKIN,,,,,,,,,,,,,,,,
05614946-0AA7-47BE-B64D-F8F00E04D7FF,,78A88,ALLIED,,,,,,,,,,,,,,,,
059074FD-D7CD-46BC-848B-E672398614E7,,83-22755-06,RHEEM,,,,,,,,,,,,,,,,
05A9FE06-2102-4FCF-876F-BE7BC6EE962E,,00PPG000008401WX,CARRIER,,,,,,,,,,,,,,,,
05BDE4E7-593A-4B89-AF2E-9551E700AB39,,1147971,HEIL,,,,,,,,,,,,,,,,
05CBF9EA-A574-4404-8212-66552BA453E5,,50VT400243,CARRIER,,,,,,,,,,,,,,,,
05F662F3-A526-43F4-8430-D6C8E5A7AFD9,,50DT400046,CARRIER,,,,,,,,,,,,,,,,
06078547-B860-49B4-91E7-0443A8B0A28D,,322937-314,CARRIER,,,,,,,,,,,,,,,,
066BC463-0E09-4300-BD74-C19AD8287E55,,322937-309,CARRIER,,,,,,,,,,,,,,,,
067A61F3-5D3C-438A-8795-C0C30DAF76F0,,966960,DAIKIN,,,,,,,,,,,,,,,,
067BC40E-4120-46BF-951B-2760D7934F10,,2001022,MCQUAY,,,,,,,,,,,,,,,,
06900EF0-F3DC-4376-B87F-0D068712C147,,61415800,ARCOAIRE,,,,,,,,,,,,,,,,
06A79944-7F0C-4A0A-B370-ACA7397FD7F5,,KH43LE125,CARRIER,,,,,,,,,,,,,,,,
06AB178A-D88B-44C3-B39E-7A6E2B480185,,B1137204,AMANA,STRAINER,,,,,,,,,,,,,,,
070BDC0A-DDD4-4E4C-BE0C-DB4BA1013106,,1173679,HEIL,,,,,,,,,,,,,,,,
07379F53-27D5-4D4C-83BB-9BB1EC5B4B4B,,36B0003N10,CARRIER,,,,,,,,,,,,,,,,
076D0DB5-7F9F-4600-B72D-3142626088B5,,1050998,SEARS,,,,,,,,,,,,,,,,
07F62B64-FC1E-421B-8D40-0D396153226D,,DHY00085,TRANE,,,,,,,,,,,,,,,,
07FF313F-9FAC-406E-9B81-944E940FF993,,50DW401180,CARRIER,,,,,,,,,,,,,,,,
0829A7A5-20FC-452E-B632-EE6EF035CD2A,,KH49EA030,CARRIER,,,,,,,,,,,,,,,,
08486472-0CA3-4786-8872-384187FAE816,,61415701,ARCOAIRE,,,,,,,,,,,,,,,,
086488D4-38AB-476C-8582-534F225FAAD5,,B4187401,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
08AEC721-443C-4F88-B285-2C9D39A1A39C,,P502-8163S,CARRIER,,,,,,,,,,,,,,,,
08EBAEC9-65BA-414D-8D07-5EAAC37007B6,,36P500B01,YORK UPG,,,,,,,,,,,,,,,,
090EA8CD-5C9E-4F6F-B315-63929C7204E9,,DHY00222,TRANE,,,,,,,,,,,,,,,,
09370D67-FCED-4898-B05A-DF4DD682F9F7,,2113337,DAIKIN,,,,,,,,,,,,,,,,
094BD968-4D00-41D2-B89E-EDBF773E9D45,,DHY00229,TRANE,,,,,,,,,,,,,,,,
0993123C-F936-457B-9662-B3C84A0EAFCE,,668800,GIBSON,,,,,,,,,,,,,,,,
0A1DA59B-E006-48D6-8B22-691321F0C864,,9368113032,FUJITSU,,,,,,,,,,,,,,,,
0A32FF7B-8157-4A8F-9134-EB11E6993C30,,50DW400752,CARRIER,,,,,,,,,,,,,,,,
0A6D4CB7-CBD4-4A02-B549-B239EB236337,,S1-02638079012,YORK UPG,,,,,,,,,,,,,,,,
0A74EBB0-0F15-4378-BDFB-393AEB492160,,P502-8163S,DAY & NIGHT,,,,,,,,,,,,,,,,
0AC41C62-C80B-4D58-9483-9DE79AD541E0,,B1278304,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
0AC683D3-1F4E-47E7-8DE6-AA572C879C45,,AL-75-115C,RHEEM,,,,,,,,,,,,,,,,
0AF015D9-CFE8-4122-ADE5-65D7F2994F3D,,73505DP01,CARRIER,,,,,,,,,,,,,,,,
0BCBD6BE-C71C-4A99-BEB4-225520049D4A,,30GT411236,CARRIER,,,,,,,,,,,,,,,,
0C64E6B0-2064-4E57-B5F1-28C2BAAB96EB,,20241201,AMANA,STRAINER,,,,,,,,,,,,,,,
0C65B872-FD87-4B8E-9ADE-4ADE190C3347,,P505-8969,CARRIER,,,,,,,,,,,,,,,,
0C898F76-8A57-448F-BC34-2DAA8738DCC1,,DHY00252,TRANE,,,,,,,,,,,,,,,,
0CBAC4E1-D00F-4927-9DD7-32B73553A3D3,,30GB409504,CARRIER,,,,,,,,,,,,,,,,
0D00F77D-1B08-46B4-90EB-DC34546CBF36,,58A64,LENNOX,,,,,,,,,,,,,,,,
0D0A8F3A-325E-4045-81BA-92046A61EB6C,,7220019,THERMAL ZONE,,,,,,,,,,,,,,,,
0D9D0BE9-AC18-4F35-90B7-47F4E14D76BC,,S1-02634095000,YORK UPG,,,,,,,,,,,,,,,,
0DA95588-B42F-45AA-81A1-80E756C675B5,,333216608,HEIL,,,,,,,,,,,,,,,,
0E14C62A-2F22-49CD-9C66-17039EC21DBE,,83-22755-12,RHEEM,,,,,,,,,,,,,,,,
0E1D5F01-FF32-4509-A733-A6CC0131D0CF,,30GB409464,CARRIER,,,,,,,,,,,,,,,,
0EA6D8AC-9E75-4E44-9860-88F768F26F5B,,83-41714-03,RHEEM,,,,,,,,,,,,,,,,
0EB8C338-0874-47C0-8B63-4B1876C34EE8,,50VL400572,CARRIER,,,,,,,,,,,,,,,,
0EF97A9D-39D3-462F-99C5-C40335AAD3C7,,KH43LZ073,PAYNE,,,,,,,,,,,,,,,,
0EF9C311-029D-452B-A323-39FB80DC376D,,010-A-102,KOLDWAVE,,,,,,,,,,,,,,,,
0F83DE35-38A4-4234-99F8-888EDDFEA9F0,,60204,REMCOR,,,,,,,,,,,,,,,,
0F892AA8-DF3A-4B6F-B889-7D0FF80AA662,,KH43LZ074,CARRIER,,,,,,,,,,,,,,,,
0FCE611D-D9F1-4E36-85E7-7E1DAC513060,,S1-02614777711,YORK UPG,,,,,,,,,,,,,,,,
10270E5F-F069-48D6-B72E-645A40CCA7C3,,1915-00670-016,JCPENNEY,,,,,,,,,,,,,,,,
10280F9E-DB76-45C4-BBED-33BE293E5E65,,61481300,FRIEDRICH,,,,,,,,,,,,,,,,
104B9578-0E68-4226-AB39-8FB250A7AB30,,KH45LD010,CARRIER,,,,,,,,,,,,,,,,
1055662D-1892-40C8-9A31-EB32AA794215,,668802,NORDYNE,,,,,,,,,,,,,,,,
10C23E78-FC66-489E-BF6D-754E8D6DA47A,,1915-00670-015,AIRTEMP,,,,,,,,,,,,,,,,
10C8F41F-14B5-41FE-B155-BE8242A07E30,,5200-5503,RHEEM,,,,,,,,,,,,,,,,
11364896-369D-40F2-8BD9-A1F836B5A01D,,P502-8033,CARRIER,,,,,,,,,,,,,,,,
1178D3EA-7EF1-4DC9-9B12-825D8B27F39F,,WJ56X81,GE,,,,,,,,,,,,,,,,
117D0347-BA39-42DD-8203-AD67DB3BE344,,4313054,CARRIER,,,,,,,,,,,,,,,,
1185B9A4-39C3-4832-B50C-6D81AD5FB5EB,,83-22755-19,RUUD,,,,,,,,,,,,,,,,
11A189BB-930F-455E-896A-711969D13B7E,,50VT400567,CARRIER,,,,,,,,,,,,,,,,
11A42E4E-3520-4DAA-91A5-8CF0C565C9E0,,WW22X3,TRANE,,,,,,,,,,,,,,,,
11DCD210-FCED-4EDC-88C2-EEDF8FF2747D,,1148955,HEIL,,,,,,,,,,,,,,,,
11EA5698-814B-4589-984E-294B6536C400,,431083,CARRIER,,,,,,,,,,,,,,,,
1273E790-D9F0-4596-B4D4-5C1280E633D1,,B4787401,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
12A9DAB2-0AAE-4898-B2FE-D3844D151AE0,,50TG402862,CARRIER,,,,,,,,,,,,,,,,
12C4E8B1-74AB-4C07-BE09-CD9D1A5F901D,,232078,DAIKIN,,,,,,,,,,,,,,,,
12C95C61-07F6-462A-A6F7-4339D5BBA062,,7738005186,BOSCH,,,,,,,,,,,,,,,,
12D42744-BE2C-4E06-8794-52D0F8D5B14B,,5200-39,WEATHERKING,,,,,,,,,,,,,,,,
12DAB379-1D02-4C87-8489-255E56B07D77,,R4170207,AMANA,STRAINER,,,,,,,,,,,,,,,
12E423A8-A7FC-4A49-B5A7-12E7B55FEDA7,,WW22X138,TRANE,,,,,,,,,,,,,,,,
13391C51-A4A1-4346-9881-A9EA5CC7FB72,,50DJ400334,CARRIER,,,,,,,,,,,,,,,,
1357EF07-024F-4EDF-940E-FB7D603C7D03,,1162482,HEIL,,,,,,,,,,,,,,,,
13D5A4C7-EF52-44F5-AB40-217038134774,,58A63,ALLIED,,,,,,,,,,,,,,,,
14098E91-B2D8-4E79-954C-7FA654760CFF,,00EFG000555000,CARRIER,,,,,,,,,,,,,,,,
140F2B6B-B4DD-4192-9EA8-8D2E687FE349,,KH43LE120S,CARRIER,,,,,,,,,,,,,,,,
14168042-79F4-40B2-8E8F-971322EC3AA5,,50HJ440023,CARRIER,,,,,,,,,,,,,,,,
141A42C9-CAC5-44C3-B7C8-2B6A00E9C3A2,,67201611,FRIEDRICH,,,,,,,,,,,,,,,,
14282DCD-5635-476D-926A-DD40FCB9A86D,,50EQ400493,CARRIER,,,,,,,,,,,,,,,,
14E7D322-1D91-4C28-8AD8-9E6ECB1524F3,,41F64,LENNOX,,,,,,,,,,,,,,,,
14E88D91-F1A5-4689-ADB4-FA3803EBF72E,,22-1576,LUX,,,,,,,,,,,,,,,,
14F25A6D-CC25-459B-B55D-52DABE4456EC,,KH680009,CARRIER,,,,,,,,,,,,,,,,
15567EEA-9FB4-4317-B83D-5BAD1E2FFCC7,,KH43LG088,CARRIER,,,,,,,,,,,,,,,,
15793007-1FF0-4D38-BCF3-5497960A0559,,S1-02917738000,YORK UPG,,,,,,,,,,,,,,,,
15C0320F-1636-4175-9FFC-2F8D6A170172,,P-8-10611,LENNOX,,,,,,,,,,,,,,,,
15F40A14-58CC-48D9-8604-AE6FE2ECC7DE,,DHY00167,TRANE,,,,,,,,,,,,,,,,
16381F03-6952-412B-912A-D42787695B0F,,WW22X83,TRANE,,,,,,,,,,,,,,,,
1638390E-2445-49A9-A511-C41CC16050D4,,12L71,AIREASE,,,,,,,,,,,,,,,,
16693568-99FA-4D20-8840-F02DE68E9337,,B5134711,AMANA,LIQUID LINE FILTER DRIER ,,,,,,,,,,,,,,,
16DB7209-21E8-401A-A6F3-FEF3DDF52218,,KH680002,CARRIER,,,,,,,,,,,,,,,,
16EBC5BB-1A36-4746-9256-ADB6DBCE987C,,1172009,HEIL,,,,,,,,,,,,,,,,
16F96722-944F-4487-89A7-60B0AA395461,,36B0005N01,CARRIER,,,,,,,,,,,,,,,,
173948A8-88D6-4125-8B55-854686B7518E,,KH29EZ070,CARRIER,,,,,,,,,,,,,,,,
174BC3A0-0806-4AC3-B1E3-56844DDD5955,,S1-02635459000,YORK UPG,,,,,,,,,,,,,,,,
179B75D4-DF4B-476A-8B64-D36841188255,,50TG402994,CARRIER,,,,,,,,,,,,,,,,
17F67E86-EE7F-485F-AF1C-E1302C3BA7F6,,1915-00670-015,CLIMATROL,,,,,,,,,,,,,,,,
18010556-1634-40A3-B255-C1ADD4A5E461,,50VL400632,CARRIER,,,,,,,,,,,,,,,,
180677B3-CA02-4D6B-B033-55A449163FAD,,50YQ900012,CARRIER,,,,,,,,,,,,,,,,
181068D2-C88D-4FBF-9BD4-0972CB603E9B,,KH45LE125,CARRIER,,,,,,,,,,,,,,,,
181722B0-4736-452B-ABF6-DF21DE0745F3,,HC45LG140,CARRIER,,,,,,,,,,,,,,,,
186C30E0-587E-45C4-AEA8-166BC6C9AE07,,KH49EA125,CARRIER,,,,,,,,,,,,,,,,
18733451-C054-47BC-847D-7EA1553C429F,,310439-701,CARRIER,,,,,,,,,,,,,,,,
18A5EB6E-5C73-4BD3-B572-98F02C429A43,,5851A30001A,COMFORT,,,,,,,,,,,,,,,,
18B4FEEB-3A19-4A90-B49E-FF50E798F670,,S1-02630888700,YORK UPG,,,,,,,,,,,,,,,,
