part_id,show,part_number,part_brand,subcategory,part_image,type_of_gas,stages,capacity,outlet_orientation,reducer_bushing,inlet_size,outlet_size_type,pilot_outlet_size,factory_settings,max_inlet_pressure,min_adjustable_setting,max_adjustable_setting,terminal_type,electrical_rating,side_outlet_size_type,gas_cock_dial_markings,ambient_temperature,amp_rating,capillary_length,standard_dial,remote_dial,temperature_range,height,length,width,ingress_protection,certifications,nema_rating
00147413-0FF5-46D7-B232-19E8DDE6EC8B,,511-048-503,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002674F9-62F9-43B7-9AEF-184D858DB4A5,,EF680017,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0036E091-92D3-4635-AE4D-D25CE8D679C4,,S1-2667J3091,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0050D956-91C3-4622-978E-6FD9FA7CDDAE,,S1-2775-3271,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005362B2-77DF-4122-AFE1-ECC678566CBF,,550002288,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00617847-EDD5-4834-9057-90C9CC5DFD89,,110038-03,DESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007A8332-F62C-468D-B927-A94FE3E89839,,VAL01104,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007E23D4-9B6B-4B25-9656-BF30591C4CCF,,1004612,SEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AE2890-703C-4291-94EF-27BFD3C1C1CE,,207141,ARCOAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AEF506-71B7-4C32-82DD-E6E4BF702704,,101019-1NAT,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00DE8A7B-AEFC-4959-9C40-A3FFF8046C95,,S1-02523063000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01000A7B-685D-4CFF-8D71-62C8591848B5,,31L82,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100AC7D-9122-4C1F-95AC-6FC5847677AA,,511-044-239,WEIL-MCLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0118A709-1639-46F1-946E-FDAD29C2BA6C,,1011024,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011DF754-9F41-400E-A8C2-9094388A8C38,,S1-02522771000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0123E286-F25B-4746-A415-038EF9ABD02F,,201600720397,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
013781E3-0392-41DE-AA94-B82F1EBF436C,,R01H012,DETTSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016C5CC9-04E8-4FFD-ABFD-4F141FACB23C,,VAL00304,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016F0B64-96D7-4423-BD8D-CD28F7F0EA32,,S1-2940-3261,COLEMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01960943-DECD-445C-B6E6-816F2896C924,,WW19X19,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01F2A477-3C48-4188-8442-89FA1A2850C4,,AS-60902-06,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01F52DE8-6B6B-4D9C-9618-D4791C5D9A03,,5H60580B3,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0265DF93-2445-43B1-AAC8-23FB109EDB21,,5H73100B3,MODINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0269479D-10DC-451E-99CE-E80335A09BC7,,71L75,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029250D1-D8C6-4ACB-98A9-4156FE737573,,P-3-1287,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02C6693B-F3EA-4F1D-9810-4546CFA1F974,,VAL2044,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02D8FDE4-B98E-4518-94EC-56183F426162,,VR8204M1018,REZNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02DA22EA-5AAA-4690-943F-BBA37F4A9F73,,S1-02524829000,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
