Model,Logo,Brand,Series,System Type,Unit Type,Tonnage,Total Circuits,DX/Chiller,Cooling Type,Heating Type,SEER,EER,Refrigerant,Original Charge (oz),Compressor Brand,Compressor Type,Compressor Model,Total Compressors,Compressors/Circuit,Compressor Size(s),Voltage/Phase/Hz,RLA,LRA,Capacity Staging,Capacity FX,Lowest Staging,Compressor Notes,Oil Type,Oil Amt (oz),Oil Notes,Device Type,Metering Device Notes,Devices/Circuit,Total Devices,Device Size,Fan Type,CFM Range,Fan Notes,Conversion Job,Warnings,Standard Controls,Optional Controls,Workflow,Conversion Notes,Service Facts,Product Data,IOM,Controls Manuals,Misc,Bluon Guidelines,Unit Image,Bid Type,Man Hours,Charge (Lbs),EXV,EXV (Qty),EXV 2,EXV 2 (Qty),Control Panel,Tech Entering Data,Date Added,QA,Tier II (Over 20 Tons),EXV + Pump-down Required,Standard,EXV Only Required,Est. Labor (Man-hours),Std. Conversion Est. MH,Less Than or Equal to 5 Tons,EEV Only Est. MH,EEV+PD Est. MH,Incorrect Original Charge,Needs QC,QA/QC Comments,QC (Ongoing),Last QC Date,Bidding Comments,Less Than or Equal to 5 Tons MH,Other Protocols,Other Protocols Labor (Man-hours),MIN Labor,MAX Labor,Bid QC Resolved,NEW (Not in Bedrock),Inspect,Baseline,Airflow / Waterflow,Recover,Controls,Replace/Install,Leak Check,Evacuate,Charge,Tune,Verify,Label,Minor Steps Completed,Filter Driers and Cores,Mfg. & Part Numbers (from Filter Driers and Cores),OEM Filter Driers and Cores,Troubleshooting,Diagnostic,Wiring Diagram,New System Type,Forum Tag,NOT in PostGres
FCM4X3600A_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,3,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,3,,,,,,TEV (Non Adjustable),,1,1,,ECM,200-1400,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X3600AL_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,3,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,3,,,,,,TEV (Non Adjustable),,1,1,,ECM,200-1400,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/9f585b493c5d455c273f6f5653f0f98c/d5b67cec/ICP_FCM4_Ion_PD_2019.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/92a74ee8ebc3c6acbefb541f807a8ca6/7a779635/ICP_FCM4_Ion_Diagnostic_2019.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X4800A_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,4,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,4,,,,,,TEV (Non Adjustable),,1,1,,ECM,250-1600,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X6000A_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,5,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,8.5,,,5,,,,,,TEV (Non Adjustable),,1,1,,ECM,500-2000,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X2400AT_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,2,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,2,,,,,,TEV (Non Adjustable),,1,1,,ECM,150-1200,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X4800AT_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,4,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,4,,,,,,TEV (Non Adjustable),,1,1,,ECM,250-1600,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X3600AT_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,3,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,3,,,,,,TEV (Non Adjustable),,1,1,,ECM,200-1400,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X4800AL_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,4,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,4,,,,,,TEV (Non Adjustable),,1,1,,ECM,250-1600,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/9f585b493c5d455c273f6f5653f0f98c/d5b67cec/ICP_FCM4_Ion_PD_2019.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/92a74ee8ebc3c6acbefb541f807a8ca6/7a779635/ICP_FCM4_Ion_Diagnostic_2019.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X2400AL_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,2,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,2,,,,,,TEV (Non Adjustable),,1,1,,ECM,150-1200,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/9f585b493c5d455c273f6f5653f0f98c/d5b67cec/ICP_FCM4_Ion_PD_2019.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/92a74ee8ebc3c6acbefb541f807a8ca6/7a779635/ICP_FCM4_Ion_Diagnostic_2019.pdf,,Air Handling Unit,Air Handling Unit,checked
FCM4X2400A_AQ,https://dl.airtable.com/ViMPPYzrS7WcEdJKFULq_airquest.png,Airquest,FCM4X,Split,Air Handling Unit,2,1,DX,Air Cooled,N/A,,,R-410A,,,,,,,,208-230/1/60,5.4,,,2,,,,,,TEV (Non Adjustable),,1,1,,ECM,150-1200,,Air Handler Unit,,,,,,https://dl.airtable.com/.attachments/12f59979483280bbfe5d820e6940ac69/4d9eb335/ICP_FEM4_SF_2018.pdf,https://dl.airtable.com/.attachments/d4b8e339117880b198c81b766fcf34fc/3ba0a125/ICP_FCM4_Observer_PD_2014.pdf,https://dl.airtable.com/.attachments/e2c95c9cfce382ecbccc2c8ed1c2ce92/9318d97d/ICP_FCM4_Observer_IOM_2014.pdf,,,,https://dl.airtable.com/.attachments/e88c0ba2fdc876599a8c5c988d34a378/889441fe/ICP_FEMFSM_Image.JPG,N/A - Air Handler Unit,5,,,,,,,David Ellis,10/26/21,,0,0,0,0,5,0,1,0,0,0,,,,,,5,,,4,6,,,,,,,,,,,,,,,,,,,,https://dl.airtable.com/.attachments/ad72a57981e4bb89b8a196dd51c6ddb2/f4a04378/ICP_FCM4_Observer_Diagnostic_2014.pdf,,Air Handling Unit,Air Handling Unit,checked
