part_id,show,part_number,part_brand,subcategory,part_image,media_type,merv_rating,nominal_width,nominal_length,nominal_depth,actual_width,actual_length,actual_depth,efficiency,max_operating_temp
000527EB-688C-4D14-802B-9BC2CB82585F,,R1000312,AMANA,AIR FILTER,,,,,,,,,,,
0037142C-465B-49D2-ACFC-126AC6501F1C,,8733920334,BOSCH,,,,,,,,,,,,
0043FA59-D443-418A-BDA2-10969EC6BCE2,,5230A20041A,SEARS,,,,,,,,,,,,
00522192-8FA6-4AEA-B4BB-03B269B73E3D,,FLR00104,TRANE,,,,,,,,,,,,
005AD0EA-248B-46D1-A6B8-95C1B043885E,,WP85X10005,GE,,,,,,,,,,,,
00A2E98F-A252-4E30-960B-6F79C6EA672F,,KLAF0101112,CARRIER,,,,,,,,,,,,
00CD9E83-C703-4678-B8F0-B8FE3F616FD5,,FLR01186,TRANE,,,,,,,,,,,,
00D52226-0525-4A7D-9558-4C2B61E6D12A,,FLR00004,TRANE,,,,,,,,,,,,
00D70473-F549-4002-AE5D-D303CA7FA66E,,7003-021,BARD,,,,,,,,,,,,
00DCDFF5-9148-417E-848E-0F110C1E25E3,,P-8-10876,ALLIED,,,,,,,,,,,,
00E5DE6C-66A7-440D-80E2-AAE9DF815D52,,100908-08,LENNOX,,,,,,,,,,,,
00FA7695-CBBC-4FF7-BEA1-2E26B607A616,,1700125,DAIKIN,,,,,,,,,,,,
010807ED-4DBE-47CE-A446-D5AB39F728AF,,UV0299,CARRIER,,,,,,,,,,,,
01090BF6-D39C-4B2C-903C-190F80C30972,,B4794501,AMANA,AIR FILTER,,,,,,,,,,,
012315A8-A2B1-42DB-A28C-999DC1ADFB40,,51301289800,CARRIER,,,,,,,,,,,,
01686194-F761-4B3F-B469-48922D77A46D,,R61Y08501,MITSUBISHI,,,,,,,,,,,,
017BB77D-9A4E-4EA4-8893-7110BBF803F2,,C4802601,AMANA,AIR FILTER,,,,,,,,,,,
01944497-5C67-42F7-9DA6-74008A2F5F81,,4550G,LARKIN,,,,,,,,,,,,
019BCEE3-364F-44B3-8A66-C4A12FC8BEE9,,64502,,,,,,,,,,,,,
01AF5D98-53A1-4F47-A7D9-BAAB81601745,,S1-02628050006,YORK UPG,,,,,,,,,,,,
01C856E4-1285-4FFA-84F8-5F8110D3815F,,AY85X26,TRANE,,,,,,,,,,,,
01CDF1A0-79CE-4973-BCDF-3052A91980BA,,FLR00143,TRANE,,,,,,,,,,,,
01CFD54C-A1A5-4BE1-A7C4-5096703DC9A5,,1167313,WHIRLPOOL,,,,,,,,,,,,
01D11E8B-4598-4C7A-B7BC-97093FCAB44D,,40QX43080153,CARRIER,,,,,,,,,,,,
01E60042-0C8E-4B51-8C70-8AEC78D2FA84,,S1-7724-3101,COLEMAN,,,,,,,,,,,,
01F661BE-9B37-4EC9-AA95-53F164DEBCE0,,5230A20041A,LG,,,,,,,,,,,,
01N9D2A27TGFHCMKA0YK12REWQDEIIOE04IV,,632472,NORDYNE,,,,,,,,,,,,
02086C10-BCB3-4E9D-B49B-62832F022B91,,54-40417-03,RHEEM,,,,,,,,,,,,
020EC41E-6C37-4143-9758-7E548E59D994,,14X25X1,CARRIER,,,,,,,,,,,,
020FAF2C-B85B-4EFE-A3FB-07C77B6BE8A6,,97H06,LENNOX,,,,,,,,,,,,
0211F17F-853E-4112-9CE8-B80FB1B6F5EE,,FLR03032,TRANE,,,,,,,,,,,,
02194C0D-F05A-41D3-80CF-1B4B019BD870,,S1-02634560000,YORK UPG,,,,,,,,,,,,
02625E32-D11B-4223-8D78-1D855915C0A1,,201130790315,THERMAL ZONE,,,,,,,,,,,,
02648F16-01A4-4AC9-9365-666BA67B47EC,,C4855601,AMANA,AIR FILTER,,,,,,,,,,,
02846BA8-68CF-44F2-817B-F14A33D8BADF,,20415801,GOODMAN,AIR FILTER,,,,,,,,,,,
0290EB56-5DEE-4C13-B989-1CFBC9B9DC43,,503314,KEEPRITE,,,,,,,,,,,,
02A0DF97-9FF1-48F8-B354-AAABBA41476C,,685444-02,CARRIER,,,,,,,,,,,,
02A35C22-B164-43C5-AFF3-1D3D67C3951D,,KH03DU261,CARRIER,,,,,,,,,,,,
02A4063E-B494-43B3-87F8-0A8D411DD2DE,,2373971,COMFORT,,,,,,,,,,,,
02AB2EC6-4C0A-4FE4-91C8-FBFEDE1CD1A0,,GAPABXCC2420,CARRIER,,,,,,,,,,,,
02AC3666-19D5-4E97-B891-8DA667896AC2,,680-0250-0,CARRIER,,,,,,,,,,,,
02CB40FF-A5F4-4EB4-B59F-66230EB5C5A0,,KH03DU340,CARRIER,,,,,,,,,,,,
02D01DAF-1DB1-45A0-B4D4-3C5911B8E923,,2373352,COMFORT,,,,,,,,,,,,
02D25AA4-3F89-4571-8CDC-FEA01677288C,,KH01AU013,CARRIER,,,,,,,,,,,,
02D519CB-F506-40E9-B633-4FC5983180A2,,FLR01126,TRANE,,,,,,,,,,,,
02E9D8A0-2EB0-45BF-B08A-38D9A6BC772F,,1685846,DAIKIN,,,,,,,,,,,,
02F6A75B-3D85-4BFB-9A41-DBAF042D6889,,LB-38183D,LENNOX,,,,,,,,,,,,
02F88CA0-CC44-4E97-94C3-A776253873F4,,WG85X43,TRANE,,,,,,,,,,,,
031506A4-8FAD-42CF-A70A-EB96C8544AC8,,S1-02628050009,YORK UPG,,,,,,,,,,,,
0316C591-5081-4BEC-A94D-EAA69B7460B6,,R01E24500,MITSUBISHI,,,,,,,,,,,,
0326093E-8EE9-48B7-A2CE-5B8EEDD3565B,,S1-02612904000,YORK UPG,,,,,,,,,,,,
03620D7A-56AD-4701-92F8-528ECEBBEDC1,,CRFLTKTA001A00,CARRIER,,,,,,,,,,,,
039A6187-90BC-461C-A7C4-21D64A44FBF8,,77CM6G50070,CARRIER,,,,,,,,,,,,
03A29A27-F0B3-4078-8C60-309779B7A1EC,,613486,HEIL,,,,,,,,,,,,
03E3BC2E-9EE6-448C-8D30-DF34A5115F13,,R61012500,MITSUBISHI,,,,,,,,,,,,
03EC0F91-9A80-45BD-A0F4-AAAEDA095E4F,,FLR00372,TRANE,,,,,,,,,,,,
04055526-EB57-4B2B-B15C-10179033F016,,10373001,AMANA,PLASTIC AIRFILTER,,,,,,,,,,,
040C0EFD-9553-4AD8-9E16-EB153DFBCA8D,,201133090979,THERMAL ZONE,,,,,,,,,,,,
04190F25-159A-4D7F-A011-7C1A7C1D0E08,,50HE403134,CARRIER,,,,,,,,,,,,
04220EA5-77E7-48E7-ABCB-353FFF43E2FA,,FLR00754,CUMBERLAND,,,,,,,,,,,,
0423E29B-204F-41DA-8640-5AC38B43744A,,030-A-052,KOLDWAVE,,,,,,,,,,,,
04251267-85C5-4781-B994-EF58DF1140D1,,FLR03406,TRANE,,,,,,,,,,,,
042CFFCE-3829-44E2-932A-77DF2F4354ED,,54-40960-08,RHEEM,,,,,,,,,,,,
0432229D-CAF8-486C-86EB-4E03098340BD,,FLR01157,TRANE,,,,,,,,,,,,
043C91E5-9E65-4664-B91E-FE48237B4B56,,2008009,MCQUAY,,,,,,,,,,,,
04496A23-F5E7-4256-935E-C0250AEF4AC1,,36K15,LENNOX,,,,,,,,,,,,
045031A6-2C67-410C-8CD7-C75E2D38CD17,,DFBS27A13,DAIKIN,,,,,,,,,,,,
045A23F4-EF80-42D3-9CB2-99442EA902EF,,0160L00173,DAIKIN,,,,,,,,,,,,
04698DBD-7DD0-42B2-AA31-2E9A34FBD651,,FLR00491,TRANE,,,,,,,,,,,,
046FA69D-FFDC-4BEF-8249-3C3A3B07CBE3,,P-8-7381,LENNOX,,,,,,,,,,,,
047CF015-EEA5-4566-802C-00662EFDDD84,,9X14,COLEMAN,,,,,,,,,,,,
047F1D0A-0787-4F60-8F4B-5469868CBC75,,54-42541-03,MCQUAY,,,,,,,,,,,,
0484E191-85BF-4948-B948-F3974D7F1A82,,570-069,BOSCH,,,,,,,,,,,,
04BA6316-274F-466E-8DED-32CDDD92B572,,LB-5596,LENNOX,,,,,,,,,,,,
04C45A5E-B247-4C61-8C8F-E5F888F8007A,,97009563,BROAN-NUTONE,,,,,,,,,,,,
04D9FD06-7E82-469D-9B64-659E1C4DCE41,,50LQ90003106,CARRIER,,,,,,,,,,,,
04E9C91F-00C9-4325-ADD6-447A95599BD5,,2373888,HEIL,,,,,,,,,,,,
04EAD392-567A-4E6B-8D56-0428A71C4A0B,,484401-1660,MOVINCOOL,,,,,,,,,,,,
04F155DB-4B67-4369-89E5-F024B891FA84,,13801079,CARRIER,,,,,,,,,,,,
04F94D6F-DF54-460F-9DF9-072F9C64F392,,1171654,HEIL,,,,,,,,,,,,
04FEB167-FF59-41EE-96EF-1B4E4E59A3A5,,20X25X1,TRANE,,,,,,,,,,,,
052F7A34-7AD4-4F7F-9D7C-A802FE7BAA78,,B1369611,GOODMAN,AIR FILTER,,,,,,,,,,,
05312080-CC4C-4115-975B-7D947138B0D4,,4032302,TEXAS FURNACE,,,,,,,,,,,,
0548F5C0-6346-45EB-9A7C-05EB73419436,,WJ85X144,GE,,,,,,,,,,,,
055F6E9F-36C6-4FE9-8ECF-37ACE7171E87,,386975,DAIKIN,,,,,,,,,,,,
056CD8B9-669B-49BC-9521-8E39715F6AE6,,1121-20480-011,CROSLEY,,,,,,,,,,,,
058244C4-4C87-431A-8A51-8E9C85DA8498,,P102-1919-2A,CARRIER,,,,,,,,,,,,
05865BB1-663A-4246-9848-4C82EB34B119,,030-A-011,KOLDWAVE,,,,,,,,,,,,
0589259C-FA92-4935-ACED-9D6BD95DF713,,1121-20480-015,SUMMIT,,,,,,,,,,,,
059875A3-19A2-4C0C-87B3-F613EAFA37BD,,11782000,BROAN-NUTONE,,,,,,,,,,,,
05C58377-4416-4D9C-92A3-32D313640F4E,,91579,WHIRLPOOL,,,,,,,,,,,,
05C8A68E-ABF4-4C40-BEB5-BEE4718E466B,,100908-03,LENNOX,,,,,,,,,,,,
05E36B8A-DF53-47FD-80F4-22B8E44674B7,,WJ85X165,GE,,,,,,,,,,,,
05EAEE96-7861-462E-A253-F98AF32821A1,,116251,HEIL,,,,,,,,,,,,
05F0CC3D-D525-4B1E-8C22-3D981B7606D7,,FLR00537,TRANE,,,,,,,,,,,,
05FA8537-C4B4-4A32-AE47-6187E60974B2,,038579233,MCQUAY,,,,,,,,,,,,
05FF0FCE-0F79-4906-8A04-5CCE0588C778,,01098A005,ARMSTRONG,,,,,,,,,,,,
06143D29-C533-4737-A92D-3D53D2AECEFB,,P-8-7837,LENNOX,,,,,,,,,,,,
06158C5C-6A49-4050-8EE8-72C829E504DF,,070190007R,SAMSUNG,,,,,,,,,,,,
06254QSFCOT6THQ6N2PMHIJ1WTTZ005V757V,,669073,NORDYNE,,,,,,,,,,,,
062ABEFB-81FA-4252-9F9A-0AC3E2952918,,FM310,YORK UPG,,,,,,,,,,,,
062E5EB5-F1F0-4F30-B794-9A9B73C8BF3D,,12X20X1,YORK UPG,,,,,,,,,,,,
0633EF01-24D6-4228-B34F-C48127738ADC,,X058601,LENNOX,,,,,,,,,,,,
0635736A-DF07-46A3-B9CE-52A64EEF1A19,,7003-079,BARD,,,,,,,,,,,,
063CC011-31F9-4824-AF42-3CF5C9B92267,,Z04F012,HEIL,,,,,,,,,,,,
063FC8D4-37F6-41F3-81F0-1053E489DCA6,,FLR01120,TRANE,,,,,,,,,,,,
06444820-EA90-40DB-B06E-CAAC9121ABB0,,59P503B12,YORK UPG,,,,,,,,,,,,
06529BA8-99B7-452D-9D56-0E5086FF48C5,,T7WE01501,MITSUBISHI,,,,,,,,,,,,
065947C7-61A8-4D9A-9D50-54BA1B020079,,15-7/8X27-3/4,CARRIER,,,,,,,,,,,,
065A672C-8B8D-4C5F-8CF0-3EEAEBA7FA92,,LB-80296BC,LENNOX,,,,,,,,,,,,
0661940A-9C6B-46C3-8F0B-95970A426CC0,,FLR00064,TRANE,,,,,,,,,,,,
06666002-15C9-426D-9BDE-252025C5AC43,,FLR06459,TRANE,,,,,,,,,,,,
0666CF32-CF3A-4E69-8B35-A7D5D98A601F,,P-8-5428,LENNOX,,,,,,,,,,,,
067BA8D4-5262-47BC-9616-2D3E8D0A6175,,FLR06642,AMERICAN STANDARD,,,,,,,,,,,,
0681FC28-EBA4-46CC-8052-1CE46AEFD285,,T111570068,CARRIER,,,,,,,,,,,,
0689B020-55D3-424A-A00E-FD9F646C3AA7,,06131B051,ARMSTRONG,,,,,,,,,,,,
068F66C7-5CAE-44E8-98F0-43A637C4A47F,,19X27-3/4,CARRIER,,,,,,,,,,,,
06A33738-57A4-4FE1-B015-D88C48DAE150,,FLR03933,TRANE,,,,,,,,,,,,
06A5E8C1-66E6-42CF-9C67-E01222F4A0A6,,6682410,NORDYNE,,,,,,,,,,,,
06A62D94-CB21-49F8-AE7A-A1741AAE0960,,59P503B27,GEOSTAR,,,,,,,,,,,,
06A72728-36ED-4153-BF69-11E73A3AB5A6,,24366600,COMFORT,,,,,,,,,,,,
06A7E4EC-3432-4916-9036-B312AAD2D82A,,FLR01495,TRANE,,,,,,,,,,,,
06BC38BB-2CDE-4D78-9AE7-B560F73F2FE1,,484401-1900,MOVINCOOL,,,,,,,,,,,,
06BF67E7-37E9-4F03-837C-17C4B8E52A45,,BT1369608,GOODMAN,AIR FILTER,,,,,,,,,,,
06C0207E-DF06-424B-B28D-64450FC2D9AB,,201120490141,THERMAL ZONE,,,,,,,,,,,,
06C82C32-69BB-4BF6-9624-2ED5C4E18F7E,,2373999,ARCOAIRE,,,,,,,,,,,,
06FC390C-41A5-40FB-A9CF-F7B09AFA33A2,,87005070020,BOSCH,,,,,,,,,,,,
0702EAFB-C45D-4E15-A773-35D4F6B0CD77,,7004-056,BARD,,,,,,,,,,,,
070D7C32-4821-4826-A3A0-0A9381FD3430,,WK85X10004,GE,,,,,,,,,,,,
0712C3C0-BE41-44D8-86D6-241FA88E5AAF,,8733907895,BOSCH,,,,,,,,,,,,
0717F21A-8AD3-43E9-AE33-0D69497D0DB7,,11045201S,AMANA,AIR FILTER,,,,,,,,,,,
071EE752-0B5C-4B53-98F9-AC96668303EC,,8-4-382B,LENNOX,,,,,,,,,,,,
0727A3DF-F70D-41EC-A769-4E86F25581AC,,9316562004,FUJITSU,,,,,,,,,,,,
0750FC3D-B961-401D-9CAA-25582B1F21A7,,S1-02603616000,YORK UPG,,,,,,,,,,,,
075B83C6-C2CD-4203-9AF1-7FF4E9D99BCD,,S1-02621213000,YORK UPG,,,,,,,,,,,,
075F434F-DDB8-4588-BD7C-36245F8E245D,,62M680057,CARRIER,,,,,,,,,,,,
075FC399-8E8B-4599-A41A-A849FE1EFE0B,,2373840,HEIL,,,,,,,,,,,,
07671277-8278-4261-9F04-5A401FE31E1C,,FLR06467,TRANE,,,,,,,,,,,,
077F22C8-6270-4C06-ACD4-B328740F0DA4,,27903C3,CARRIER,,,,,,,,,,,,
0780A6D2-81E9-4312-9A53-E91F5DEB0AA9,,FILBBFTC0016,CARRIER,,,,,,,,,,,,
07A64317-08F3-4576-9C19-3F4B3833F52B,,KH01AA590,CARRIER,,,,,,,,,,,,
07A9F8EE-771D-4876-8A89-8FC3F4111A52,,FMR00875,TRANE,,,,,,,,,,,,
07BA9DE9-A56F-4BBC-9EB5-8812498ED177,,FLR01486,AMERICAN STANDARD,,,,,,,,,,,,
07C7980F-E0BE-4CA2-A16A-D960550DC140,,11121012,SEA BREEZE,,,,,,,,,,,,
07C92A43-A08C-4286-8730-F1DE71F7880D,,S1-02611512000,YORK UPG,,,,,,,,,,,,
07D1C952-EE69-4A28-BBD3-41483416F88D,,FLR01081,TRANE,,,,,,,,,,,,
07E2CF6E-1D67-460E-96CE-D77F03A7D86A,,8733920328,BOSCH,,,,,,,,,,,,
07ECA636-779D-48F1-B104-DD2DEA0976EB,,50DP404763,BRYANT,,,,,,,,,,,,
07F42968-2D41-4C3D-A2EC-A6CA2C62D028,,123324-008,CARRIER,,,,,,,,,,,,
07FAC68A-0E59-43C6-BA0F-7192DAF41691,,030-A-032,KOLDWAVE,,,,,,,,,,,,
07FB9AFA-8C32-472F-A827-3D7A4250E792,,12100204000735,CARRIER,,,,,,,,,,,,
07FBDBE3-795D-4C1D-8441-600E71ED355F,,10X20X1,ARCOAIRE,,,,,,,,,,,,
080545BA-C863-4297-AACD-FF27B72CCAE0,,C4855613,AMANA,AIR FILTER,,,,,,,,,,,
08069558-A9EC-44BE-B2C2-8F0FDBA1B93F,,52SQ500204,CARRIER,,,,,,,,,,,,
080E0010-5F74-4E83-BE7D-17868CF914A7,,54-19655-06,RHEEM,,,,,,,,,,,,
08173649-F874-4596-B5CA-A26EBFA449A9,,KH03DW160,BRYANT,,,,,,,,,,,,
0849834B-1BA0-4707-A18C-284C9449B115,,KFAFK0112SML,CARRIER,,,,,,,,,,,,
084C98EC-8987-4C50-A804-176BDB93D922,,67200555,FRIEDRICH,,,,,,,,,,,,
084D0BBA-D245-421E-9B36-B5996FB6434B,,51CE680046,CARRIER,,,,,,,,,,,,
0865B633-52FD-41BE-B86A-7192AAE76E58,,54-40112-04,RHEEM,,,,,,,,,,,,
0868BE7C-DA84-4E9F-8725-2B4602E13DA0,,11126051,SEA BREEZE,,,,,,,,,,,,
086C58AF-D33C-4917-8247-442741ED08D3,,P-8-7841,LENNOX,,,,,,,,,,,,
087406DD-41E3-4ABA-97E9-A288E202223C,,C4855616,AMANA,AIR FILTER,,,,,,,,,,,
0876EE7B-D0B4-4DDD-9BA8-042E428D8A0A,,43G60,LENNOX,,,,,,,,,,,,
087D4CFF-8806-437D-A052-A946F48AF9A1,,B4371502,DUCANE,,,,,,,,,,,,
088213F8-6A26-4E93-AF1C-0E275B4566C6,,FLR01123,TRANE,,,,,,,,,,,,
0887A7B8-11BE-46BA-A840-2077D09B9022,,23E49,LENNOX,,,,,,,,,,,,
088EEC59-95C4-4EA5-929E-F3E8BBFB1B45,,101607,AMANA,,,,,,,,,,,,
08ABF6D5-F246-48C1-A2CC-E31B3D21224A,,FLR01070,TRANE,,,,,,,,,,,,
08BECE99-9CB7-479A-BB82-E6E06EDDDBDF,,8733920326,BOSCH,,,,,,,,,,,,
08CF8A6F-71FF-47E4-8E84-9456E1A0C001,,R01E00500,MITSUBISHI,,,,,,,,,,,,
08DB2732-9A82-4D4E-B2DA-235CB5D7A509,,232002,DAIKIN,,,,,,,,,,,,
08E941B0-595C-44CA-942A-3C1BE71C5D34,,50DK504915,CARRIER,,,,,,,,,,,,
08F654C8-26EE-40EA-9CE2-0882094780D9,,685444-05,CARRIER,,,,,,,,,,,,
08F6B56F-915A-47BB-8FAF-7FF70D9DFA37,,50-010-550,CARRIER,,,,,,,,,,,,
091B836D-4B16-4ED1-9A90-F5E22B011CA0,,C4855624,AMANA,AIR FILTER,,,,,,,,,,,
092369AD-8AC4-4AF9-AD85-17A6F61F9C55,,KLAFL0101812,CARRIER,,,,,,,,,,,,
09388715-3105-4255-B682-75EA210F1F4B,,1121-20480-011,JCPENNEY,,,,,,,,,,,,
09654E64-0304-46C5-8273-ED1098D4976B,,100190139R,SEA BREEZE,,,,,,,,,,,,
096F6D2A-E1FD-4D3E-8EEC-414FFAF3A755,,S1-02628698000,YORK UPG,,,,,,,,,,,,
09706F78-E16D-4601-B0A0-FD3DDC2B3045,,20X14,TRANE,,,,,,,,,,,,
097156B3-142B-4FF1-A01D-14F20A6C9A38,,06131B034,ARMSTRONG,,,,,,,,,,,,
098384DD-E589-4EA1-8D72-638122B33972,,WG84X59,TRANE,,,,,,,,,,,,
098D2A0F-47FB-432A-A5A3-13FD26E224DA,,7004-016,BARD,,,,,,,,,,,,
09910E68-0A6C-4F39-A84C-6CF206555D81,,2373902,COMFORT,,,,,,,,,,,,
0997CDFA-C63B-4727-998C-F72420A3CBA1,,68-101807-02,THERMAL ZONE,,,,,,,,,,,,
09CB8170-8877-417B-9652-4FB8ED6AF8EB,,P102-1919-6A,CARRIER,,,,,,,,,,,,
0A4AA674-0CCC-4249-90F4-EC7B1381DEEA,,30335,,,,,,,,,,,,,
0A55DE49-8419-4761-A5B0-7B99A9203101,,P-8-7827,LENNOX,,,,,,,,,,,,
0A6AE8C8-9B32-4EDB-995D-F7DBC9E5ADAD,,S1-02623581000,YORK UPG,,,,,,,,,,,,
0A6FE18A-1C76-49A5-A95A-57264106531A,,7003-073,BARD,,,,,,,,,,,,
0A73115D-E761-4A11-9903-3D38482394B8,,WJ71X10097,GE,,,,,,,,,,,,
0A91F267-AC26-45AF-93E4-819DB0AFC937,,WJ85X159,GE,,,,,,,,,,,,
0A9A365A-DB35-4DC3-9482-04FFB8EB1D25,,67207401,FRIEDRICH,,,,,,,,,,,,
0A9BE5A1-4574-4E92-A764-72ED9DFE6C12,,T111572009,CARRIER,,,,,,,,,,,,
0AB1329A-29C8-434E-9D5B-36FC80B8B2F5,,685444-40,CARRIER,,,,,,,,,,,,
0AB31582-50BD-4744-9FA7-A787C4E5F23A,,14X22X1,LENNOX,,,,,,,,,,,,
0AC5A108-B01D-4EE9-8A60-DA620E041B41,,17FX55002601,CARRIER,,,,,,,,,,,,
0AD6FCA3-6827-4358-9D8B-CF993DDBC1A0,,030-A-034,KOLDWAVE,,,,,,,,,,,,
0ADB7EF3-B08A-4A59-9ECB-2EBD4656FD10,,7002-5507,WEATHERKING,,,,,,,,,,,,
0AFF61FF-8958-436F-BB53-C8196B62C728,,50HE403135,CARRIER,,,,,,,,,,,,
0AUIYIRGAH0G43T060E2KNL8ZIVIW37H78GN,,DUB20122605,NORDYNE,,,,,,,,,,,,
0B1A200D-17A0-4A3C-BADE-05C618F7F1F3,,S1-02638724000,YORK UPG,,,,,,,,,,,,
0B1C0DAB-4AEE-431B-B4B7-E23445420146,,15X20X1,CARRIER,,,,,,,,,,,,
0B41DA79-00D0-4DF7-BED5-812CD87834B7,,54-19655-18,HEAT CONTROLLER,,,,,,,,,,,,
0B4E542D-5AD3-40C7-9753-1BB382AF9A12,,PAC-SG01KF,MITSUBISHI,,,,,,,,,,,,
0B93A36F-618D-4D7D-AE34-C2272BB5215A,,707440-91,CARRIER,,,,,,,,,,,,
0BA57905-9902-42B1-A342-382F418BA020,,S1-6806-3551,COLEMAN,,,,,,,,,,,,
0BAC3B70-8EAA-42C4-A022-DF83CD9DF95C,,L1-01463,CARRIER,,,,,,,,,,,,
0BBD7CC2-509A-47DC-A4F9-51B12CC24538,,1094337,HEIL,,,,,,,,,,,,
0BC69C0B-5253-4FAE-98ED-60681DB098F6,,333N359A,HEAT CONTROLLER,,,,,,,,,,,,
0BCFD958-41F5-44A4-8A13-B55B786BCB00,,FLR00119,TRANE,,,,,,,,,,,,
0BD4DC45-BE5B-4F28-BDE1-A996D0F43F8C,,T111572042,CARRIER,,,,,,,,,,,,
0BEB30A5-1F7D-4DE4-86D4-14201F3B661B,,FLR00607,TRANE,,,,,,,,,,,,
0BF192A2-8751-4C00-995E-7FE787F58ED6,,314871-201,CARRIER,,,,,,,,,,,,
0C147697-2A65-45A2-9D6E-44C6E1E3E84F,,11122059,SEA BREEZE,,,,,,,,,,,,
0C1D9007-3FF6-4802-A3C4-DAD2A073300A,,R0139403,AMANA,AIR FILTER,,,,,,,,,,,
0C2914BB-BD51-4161-8680-AD68EDBFEE59,,5303303242,FRIGIDAIRE,,,,,,,,,,,,
0C45E578-60BA-4CC8-B82A-7D473A04ED77,,FLR01122,TRANE,,,,,,,,,,,,
0C551A95-BE8A-41F2-B5C3-07ADAC7FD7A8,,KH01FU460,CARRIER,,,,,,,,,,,,
0C5C68C0-D5F0-4409-B7A9-3B4E09FF2A0A,,R01E01500,MITSUBISHI,,,,,,,,,,,,
0C5ED4F6-E0F1-4157-A93B-350B6D1A6479,,201133190183,GOODMAN,AIR FILTER,,,,,,,,,,,
0C7B202B-F547-457D-8CD1-4D459DC5692F,,22-4071,YORK UPG,,,,,,,,,,,,
