part_id,show,part_number,part_brand,subcategory,part_image,fused,ingress_protection,certifications,nema_rating
0000CA69-5764-4E92-8943-B7D19D4A5FC3,,85947302,SANYO,,,,,,
0000FCC1-6B68-462B-9752-B681F32FF2EA,,30GX403935,CARRIER,ECM MODULE,,,,,
00061C28-6994-46C0-AA9D-0EAB5F26FC98,,6025791,DAIKIN,,,,,,
0008474F-1F59-4FE2-A95E-A94D20DBE33C,,00EFN500125700A,CARRIER,,,,,,
000BAD7B-AA30-4F9E-8F81-3CA78C36C6F4,,E02A51452,MITSUBISHI,,,,,,
0012214E-0839-48A4-A98A-CEF5FEA8055F,,50DJ902421,CARRIER,,,,,,
001718E4-3E6E-41B5-BD01-02B849C234B9,,0600400762,CARRIER,,,,,,
001B08F4-33D3-474A-B446-BF05DCF9662E,,0600400775,CARRIER,,,,,,
00265B7A-5966-43A0-AD74-02FA7C6A8F45,,20H78,LENNOX,,,,,,
002B6EE3-E12C-4E65-AFD5-70DDC0DF8861,,103098-01,LENNOX,,,,,,
002D49F8-56BD-401F-94BB-29A0C13B8263,,38AP401282,CARRIER,,,,,,
0034466E-A7DF-412E-9B11-0873BF3750C6,,CPN00364,TRANE,,,,,,
0037EDD3-B364-4A59-963C-EACFF95D3B9B,,30138001220,GREE,,,,,,
0039E7AF-9354-4FC0-B61A-799CCC694472,,5278,,,,,,,
003A2AD4-3C10-4026-9F51-8D6B97F1E1B1,,0600400737,CARRIER,,,,,,
004F292C-BCC0-4517-92A5-5BBAFC06E7C7,,48NG480722,CARRIER,,,,,,
005322A7-AEEB-49D1-97E6-77E18CE96B12,,30GX406674,CARRIER,ECM MODULE,,,,,
0056674D-F9A4-4CE3-8EF9-9FF5C398F9A9,,GC709,COLDSPOT,,,,,,
0057872F-BB89-4740-875B-EBFD5C046E04,,30510136_K46462,AIRWELL,,,,,,
00581F03-34AA-4C69-8D9D-46E3826F6B9D,,30GX400660,CARRIER,ECM MODULE,,,,,
007AAD37-C724-49A9-A008-F48EEC060824,,HK30WA103,CARRIER,,,,,,
008B2899-4304-4A5C-9668-183353938AC6,,9022-005,BARD,,,,,,
009BA43C-0C2F-4E5A-830A-30858E26B000,,38AP404790,CARRIER,,,,,,
00A181CD-86B1-4E38-BDA2-026B1E3EB736,,6871A20193B,FRIEDRICH,,,,,,
00A3A797-8CF1-4EC5-AA50-2CCC82334689,,17122000A14471,CARRIER,,,,,,
00A6D0F4-80A0-401C-9B5E-7156A5668AE0,,S1-02518568012,YORK UPG,,,,,,
00AF0A5E-55CC-48F8-9477-01D33F513D12,,CPN00803,TRANE,,,,,,
00B85019-7561-4523-ACA9-F95AD402779F,,6871AQ2155,LG,,,,,,
00BF0BD0-1417-4D9C-80F0-6CA14A340C1C,,30GT414303,CARRIER,,,,,,
00C3EC51-EC9B-49C4-8794-CAB1FD8574A2,,103079-10,WITT,,,,,,
00C44030-4F3B-4336-BB99-29986A6324FB,,67201695,FRIEDRICH,,,,,,
00CAB38C-3F36-44FA-B143-6B6C01432185,,1012477,HEIL,,,,,,
