part_id,show,part_number,part_brand,subcategory,part_image,diameter,number_of_blades,pitch,bore,rotation,rpm,cfm,bhp,material,ingress_protection,certifications,nema_rating
000CACE2-3DD7-405D-BC7D-55D0680CBF3A,1,RFN-0020,CARRIER,,,,,,,,,,,,,,
001C9B18-5577-4981-AAE1-F7742DD0663F,1,70-102011-17,RHEEM,,,,,,,,,,,,,,
001CCC84-77E2-4035-81F5-553523B0D721,1,A438701,WESTINGHOUSE,,,,,,,,,,,,,,
0021C35F-8237-4A83-AA02-0DBE0D6767C4,1,2325317,HEIL,,,,,,,,,,,,,,
00236B63-B946-45D8-8923-1F951B02A9A2,1,R100060-016,LENNOX,,,,,,,,,,,,,,
002964DE-1E65-489B-9BB3-7570FC575F6F,1,204395016,WITT,,,,,,,,,,,,,,
002D19E9-B2F1-4166-AE16-805F20E553E2,1,5151-049,BARD,,,,,,,,,,,,,,
004FAA2A-D1AF-4D29-851D-A64998DC1EFA,1,WJ73X10046,GE,,,,,,,,,,,,,,
00AIORGU9KMS8KCV7J6FDF6NQT8FMACPTMIJ,1,8010972,KELVINATOR,,,,,,,,,,,,,,
00B6235C-8002-4543-B13C-1E45FBF7ADA7,1,1087333,HEIL,,,,,,,,,,,,,,
00D246E3-B10B-4825-AA64-69125705CAFB,1,0150M00016,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
00E921F3-7989-4319-B819-7562D6AC6B91,1,61634001,FRIEDRICH,,,,,,,,,,,,,,
00EA51A5-380E-447E-9648-C657E60CD4E9,1,LA01EW050,DAY & NIGHT,,,,,,,,,,,,,,
00EE3BA0-3157-41F1-9852-DC353FA9C8E2,1,22-4100,LUX,,,,,,,,,,,,,,
00EFDC01-7597-4927-9DE4-F9DF473B1453,1,KFR20W.1.5.1,DAEWOO,,,,,,,,,,,,,,
00F5F72F-AF23-458C-9860-F6DDA68CF303,1,FAN00400,TRANE,,,,,,,,,,,,,,
0113384A-AE46-4FF4-8450-5FB2B21807E2,1,4033,,,,,,,,,,,,,,,
01182D68-0FDC-4F06-8179-7FFE4E76B24F,1,5151-136,WEATHERKING,,,,,,,,,,,,,,
0122F7BF-B820-496A-BE32-D81A54FA99F6,1,BLD00960,TRANE,,,,,,,,,,,,,,
01266042-92C3-4E55-BEEB-AB769838A381,1,FAN02624,TRANE,,,,,,,,,,,,,,
0141FB56-016D-4CB6-956E-E333B8964299,1,49032,,,,,,,,,,,,,,,
014D2274-380C-4577-99E0-360393496D53,1,LA680510,CARRIER,,,,,,,,,,,,,,
015C8E91-AE39-4783-8F8A-1624361458EE,1,A442902,WESTINGHOUSE,,,,,,,,,,,,,,
015D048D-9CCB-408A-89FC-B23060B825FC,1,1645441,ICP,,,,,,,,,,,,,,
0178A1F6-2946-47D0-8B0E-4DAE8DEF1589,1,65386D1,CARRIER,,,,,,,,,,,,,,
01875FE4-1CA8-427B-A89F-187B78C5EA80,1,B4190201,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
01901F8F-6BA5-4DEA-BAD2-4E664E0CF8E5,1,1087079,HEIL,,,,,,,,,,,,,,
019F8D98-9C0A-4825-9061-57C03F557BDC,1,LA01RW026,CARRIER,,,,,,,,,,,,,,
01BC9C37-8C2F-4379-A805-7F9BD8399746,1,LA01LA029,CARRIER,,,,,,,,,,,,,,
01C13140-B13F-4475-8753-424614C07111,1,204395008,WITT,,,,,,,,,,,,,,
01C2CD0F-1725-471A-A4C8-F658294DB1B9,1,C5806201,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
01CE20A3-964E-4536-A375-7425F0681E35,1,70-21858-13,RUUD,,,,,,,,,,,,,,
01D05207-7ECC-4D3B-BC79-6BF16E0E53B4,1,65341500,LENNOX,,,,,,,,,,,,,,
01D78B7C-AFEA-46DF-9C89-999E6339A253,1,D4327501,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
01D8C48A-9EC4-447D-A640-A84D29BEFB4D,1,D-26620-01,RHEEM,,,,,,,,,,,,,,
01DAABB2-68CD-4A54-B3DC-E7AF67D5DC8B,1,10040401,AMANA,CONDENSER FAN BLADE,,,,,,,,,,,,,
01E0FDD5-596C-44A1-9C6C-CEAD2B8C4F30,1,Z7438Y01,CARRIER,,,,,,,,,,,,,,
01E8137A-9E0B-4A7D-93C5-7A973ABD2A5E,1,FAN01865,AMERICAN STANDARD,,,,,,,,,,,,,,
01EBE010-6C9B-4745-8ABA-1F673AB22F17,1,10625732,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
01F47C58-3871-4B04-A376-5F4D7CE35782,1,WW73X16,TRANE,,,,,,,,,,,,,,
023D01FF-FE64-4D05-8C0C-EEF3E41DC783,1,S1-02626897000,YORK UPG,,,,,,,,,,,,,,
023F170B-39EC-4CC4-8D51-ECC20427F698,1,R01103115,MITSUBISHI,,,,,,,,,,,,,,
024177F9-75DA-4EA4-AD67-AE8A239F90BD,1,LA01ZC003,CARRIER,,,,,,,,,,,,,,
024F79B8-D3D7-4106-9B63-EFD3EB7DEBDE,1,1065391,HEIL,,,,,,,,,,,,,,
025F1C2D-3624-480B-882F-D750C88415B9,1,67302613,FRIEDRICH,,,,,,,,,,,,,,
02749182-BE35-40B1-8C4B-BDF608BBEDF2,1,5303272313,HARVARD,,,,,,,,,,,,,,
027C260C-DABA-4DFA-A2C3-52D07AC70BEA,1,5151-191,HEAT CONTROLLER,,,,,,,,,,,,,,
0288EBB1-2A73-4DCD-AEF3-05105F1C9645,1,R01E10115,MITSUBISHI,,,,,,,,,,,,,,
02A10C77-FE74-4CCD-A101-28CCF062A522,1,S1-02625369000,YORK UPG,,,,,,,,,,,,,,
02AAED8F-C7DA-42A1-8272-7C30CC72C817,1,5H63980-4,MODINE,,,,,,,,,,,,,,
02AE600F-EBA2-490B-B083-77235FC6A46A,1,1068918,HEIL,,,,,,,,,,,,,,
02AF4216-C32A-4F40-BA07-B03360965EBC,1,5303270893,WESTINGHOUSE,,,,,,,,,,,,,,
02AFC42B-932A-470A-AB29-63B4889B11D4,1,70-20631-01,RHEEM,,,,,,,,,,,,,,
02B51AED-2E24-49F7-B83B-0291F75332EC,1,1645200,ARCOAIRE,,,,,,,,,,,,,,
02CAC2F2-C2EC-4345-9EA5-B51BF319991C,1,8009134,GIBSON,,,,,,,,,,,,,,
02DF751F-573A-4B40-B00C-AA0F786A5C16,1,LA01RA225,BRYANT,,,,,,,,,,,,,,
02F437F5-7DFF-4A64-908C-E1E55C8994A6,1,5H70631C1,MODINE,,,,,,,,,,,,,,
03103592-DA37-46A1-A013-76FF5BD92047,1,70-101323-22,RUUD,,,,,,,,,,,,,,
03388774-BA2D-4260-A9C7-83146F83347E,1,5109B,BOHN,,,,,,,,,,,,,,
0355A8A6-EEDC-4213-8AE9-487B38F5C1EF,1,A271702,WESTINGHOUSE,,,,,,,,,,,,,,
035CFF8D-7283-4120-932F-1E861798FACA,1,LA01AX243,CARRIER,,,,,,,,,,,,,,
036C3B12-2669-4CD8-A493-36088511D61C,1,F0003,KOOL-AIR,,,,,,,,,,,,,,
037EBF65-9A09-448C-A89A-088965E58532,1,7174402,CHANDLER,,,,,,,,,,,,,,
03854675-7819-44FC-B57C-A04D2132E199,1,12100105000087,THERMAL ZONE,,,,,,,,,,,,,,
038BA066-31D0-4FED-86AB-3E5D872E333E,1,38QZ43120129,CARRIER,,,,,,,,,,,,,,
0395EC31-62A0-4496-99F9-24A588797391,1,1147288,HEIL,,,,,,,,,,,,,,
03981153-D3E9-402C-A706-0252FF2DFBEB,1,951-174,INDUSTRIAL COMBUSTION,,,,,,,,,,,,,,
039957F0-BEAD-4FA8-8B25-7AC9FF5083DE,1,1080778,HEIL,,,,,,,,,,,,,,
03BBCF07-18EC-4BD0-9EB4-0785B5DF581B,1,LA01EA038,CARRIER,,,,,,,,,,,,,,
03C32C5E-A12B-4439-889D-1F4E3B82A00A,1,187C376H01,WESTINGHOUSE,,,,,,,,,,,,,,
03E5EA88-0104-40EE-A281-9FA8474E8118,1,8017210,FRIGIDAIRE,,,,,,,,,,,,,,
03FAAC70-628F-44FE-ACAF-A3BC3C8C14F6,1,8047447,GIBSON,,,,,,,,,,,,,,
03FD6290-7D63-40C4-A31B-318619085770,1,0161P00055,GOODMAN,CONDENSER FAN BLADE,,,,,,,,,,,,,
040FA2FF-262A-4242-B5CD-5D35A0E38FF3,1,BLD00172,TRANE,,,,,,,,,,,,,,
