part_id,show,part_number,part_brand,subcategory,part_image,application,gas_type,voltage,terminal_TYPE,mounting,tip_style,ceramic_block,pilot_btu,orifice_diameter,pilot_tube_length,lead_length,sensor_type,steady_current,temp_rating,time_to_temp,amperage,cold_resistance,max_current,compression_fitting_diameter,probe_length,rod_angle,length,height,width,ingress_protection,certifications,nema_rating
0025AFE0-9F12-4F28-B43F-FBEC1BB4AEE8,,50HJ403022,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00380842-CC41-43DD-BA80-397AADBF5181,,51441U,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008A51D2-B99A-48DE-AED2-2A42B4EE5317,,PLT01768,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0096E3FC-84FE-43BE-BEBD-7D460D444527,,52L46,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00BA9C45-3985-4277-83C4-477E7C55C410,,PLT3021,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0104F28C-B7CA-4059-84B9-AD0B91177E7B,,PIT00192,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012B6E5D-5A88-40FB-9E1E-B5E61A76EF00,,P-8-9312,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0159ADAE-3C4F-42C3-B218-E838A1ABAEA6,,PLT1142,LOCHINVAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020D4CE6-1C03-4E9B-B76D-752B4E08059B,,87481070890,BOSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0227715C-03B7-44B6-B715-76C580FC3CEA,,919000-0700,GORDON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02308540-BD70-420B-9263-D44E2A039732,,762153,EMPIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
023BA12C-1D2C-4F82-BB61-947247358C7B,,21-1089,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02432138-9AB4-4814-8418-F64A3F6109C4,,48-40676-02,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0256902C-753F-4D72-ABC9-4D3B39D620A6,,902661,NORDYNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
026FC9DF-232C-4905-BBFF-C0F21CD40171,,62-21432-01,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
