part_id,show,part_number,part_brand,subcategory,part_image,rated_refrigerant,nominal_capacity,inlet_diameter,inlet_connection_type,outlet_diameter,outlet_connection_type,equalizer,external_equalizer_connection,bidirectional,adjustable,configuration,supply_voltage,motor_type,control_steps,step_rate,orfice_size,capillary_tube_length,number_of_headers,spring_type,check_valve,hermetic,balanced_port,applications,element_size,body_type,thermostatic_charge,mesh_strainer,max_operating_pressures,max_differential_pressure_drop,ambient_temperature,refrigerant_temperature,current,drive_frequency,phase_resistance,compatible_oils,cable_type,max_power_input,step_angle,resolution,connections,closing_steps,minimum_steps,hold_current,percent_duty,stroke,max_internal_leakage,max_external_leakage,ingress_protection,certifications,nema_rating
00043EF2-6365-4A8B-B1CD-44352A181BA6,,5304403237,WESTINGHOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00051FD9-D44C-413C-B246-395A11CA50D9,,R0198468,AMANA,NG ORIFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0011BDDB-DEA4-41F8-9A31-593DDA24A54E,,3001364,THERMAL ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001DBBE2-786C-402D-A979-5A8EE9D3FCDB,,207085-41,ARCOAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001E8544-637D-44FF-9804-E08B6CB2074E,,800-0026,BARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001F1540-7C3C-47BF-A37B-65C3764566CD,,RCSL-HU6024TU,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002815A5-55EA-4D44-8249-E8CE55B38208,,0162D00080,GOODMAN,PISTON ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0028FC7A-7B79-4838-86D5-8D27DAB60B0B,,72586DA03,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002A6616-DB4E-4FF6-980D-B6FA9B09429F,,20066,MARVAIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002D63B0-CC7C-48E9-96F6-176FA615053E,,1179944,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0031759F-9A34-40EE-8203-C47AEB701511,,61-25414-41,RHEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0032225A-3189-4432-B041-18F6C766C812,,1066650,HEIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033B1F7-6EA6-430A-8A74-5CA7E2FF9E29,,S1-02632657703,YORK UPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0035685B-720E-47C6-9214-93062138D42F,,EA36DB360,CARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00368EF3-E8C6-4895-92EE-892C58040E8E,,ORF00975,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0040204F-EAD4-46D8-B064-83096CDECEA8,,AS-54504-83,WEATHERKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00408C45-B479-4AC7-AF28-F890A8E30E02,,3143664,GREE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00409758-B1D7-4ACF-93BA-509E08028A9F,,23J91,LENNOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0042821B-2836-44A4-9244-B36AFE5E8D7B,,8733930021,BOSCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0043329E-12A5-4CF3-85DF-CE4D6401EC18,,VAL01854,TRANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
